step,loss,ema_loss,val_loss,lr,tokens_per_sec
20,7.825140,7.831035,,0.00000315,956.25
40,7.782734,7.810185,,0.00000615,2091.34
60,7.708932,7.759780,,0.00000915,2002.42
80,7.602103,7.683887,,0.00001215,2107.54
100,7.457975,7.571552,7.426123,0.00001515,2068.51
120,7.257645,7.429712,,0.00001815,23.57
140,7.069430,7.251751,,0.00002115,1993.90
