step,loss,ema_loss,val_loss,lr,tokens_per_sec
6720,4.687679,4.656750,,0.00000800,1644.86
6740,4.577077,4.648821,,0.00001148,1680.16
6760,4.769589,4.673137,,0.00001085,1694.64
6780,4.558997,4.646017,,0.00001001,1783.38
6800,4.733810,4.634394,4.513349,0.00000900,1701.79
6820,4.605447,4.622626,,0.00000785,1658.83
6840,4.354924,4.602476,,0.00000663,1718.68
6860,4.549487,4.614861,,0.00000537,1611.92
6880,4.490175,4.616726,,0.00000415,1787.32
6900,4.484942,4.589072,4.438339,0.00000300,1648.47
6920,4.693102,4.607079,,0.00000199,1840.71
6940,4.466919,4.603668,,0.00000120,1917.94
6960,4.504500,4.583682,,0.00000120,1933.67
6980,4.829662,4.584609,,0.00000120,1799.19
7000,4.470627,4.637675,4.435911,0.00000120,1938.39
