step,loss,ema_loss,val_loss,lr,tokens_per_sec
200620,2.959348,3.008912,,0.00000630,2735.20
200640,3.306865,3.041648,,0.00001230,3080.98
200660,3.182715,3.005417,,0.00001830,3106.49
200680,3.545223,3.068599,,0.00002430,3096.22
200700,2.945090,2.985664,3.364771,0.00002925,3374.01
200720,3.100061,3.033981,,0.00002893,3463.36
200740,3.253999,2.948089,,0.00002855,3490.90
200760,2.562780,2.954489,,0.00002812,3480.07
200780,2.447603,2.980648,,0.00002764,3460.83
200800,3.260816,3.037040,3.066454,0.00002711,3453.14
200820,2.736618,2.988807,,0.00002653,3394.98
200840,2.697370,2.981166,,0.00002590,3406.88
200860,2.358614,2.855654,,0.00002523,3334.62
200880,2.571385,2.828777,,0.00002453,3436.21
200900,3.140712,2.965220,3.326129,0.00002378,3237.67
200920,3.473739,3.036262,,0.00002300,3403.66
200940,3.531444,2.909447,,0.00002218,3517.74
200960,3.279720,2.921267,,0.00002134,3349.15
200980,3.504779,2.920205,,0.00002048,3446.29
201000,3.595307,2.884263,3.299856,0.00001959,3173.62
201020,3.000330,2.804374,,0.00001868,3238.34
201040,2.955029,2.858871,,0.00001776,3284.75
201060,3.048853,2.802782,,0.00001683,3377.18
201080,2.734292,2.782350,,0.00001589,3493.96
201100,2.485687,2.869330,3.229040,0.00001495,3457.90
201120,3.402386,2.867706,,0.00001401,3282.22
201140,2.477813,2.914659,,0.00001307,3453.06
201160,2.349367,2.901453,,0.00001214,3427.24
201180,2.986384,2.878711,,0.00001122,3068.73
201200,3.799182,3.009932,3.262992,0.00001032,2512.64
201220,2.987009,2.888530,,0.00000943,2877.01
201240,2.927512,2.805018,,0.00000857,2906.84
201260,2.804122,2.737593,,0.00000773,2966.59
201280,2.589121,2.786481,,0.00000692,3051.95
201300,2.364030,2.756438,3.151125,0.00000615,3192.72
201320,1.919576,2.832093,,0.00000540,3023.25
201340,3.003770,2.824640,,0.00000470,3021.89
201360,3.229322,2.814999,,0.00000403,3112.13
201380,2.646224,2.801880,,0.00000341,3146.58
201400,2.785432,2.770168,3.339457,0.00000300,3109.83
201420,2.487739,2.817825,,0.00000300,3024.01
201440,2.314015,2.846768,,0.00000300,3288.99
201460,2.567001,2.808354,,0.00000300,3120.17
201480,2.550123,2.855562,,0.00000300,3167.08
201500,2.589346,2.781651,3.314603,0.00000300,3095.50
201520,2.973867,2.715464,,0.00000300,2788.93
201540,2.893902,2.764890,,0.00000300,3057.42
201560,2.566744,2.775662,,0.00000300,3109.83
201580,2.168246,2.732714,,0.00000300,3071.58
