step,loss,ema_loss,val_loss,lr,tokens_per_sec
2380,4.681549,4.717285,,0.00011339,1175.18
2380,4.730058,4.765776,,0.00009035,1187.45
2400,4.763206,4.699677,4.693155,0.00011188,1128.73
2400,4.814147,4.749370,4.692326,0.00008819,1147.17
2420,4.620597,4.696574,,0.00011023,1160.29
2420,4.676260,4.747715,,0.00008585,1145.35
2440,4.672533,4.642718,,0.00010845,1113.73
2440,4.724735,4.695048,,0.00008333,1090.98
2460,4.797079,4.640762,,0.00010653,1163.68
2460,4.848501,4.694336,,0.00008065,1193.56
2480,4.626162,4.660207,,0.00010448,1173.31
2480,4.684967,4.714415,,0.00007781,1189.66
2500,4.698989,4.673594,4.597024,0.00010232,1147.47
2500,4.752378,4.728930,4.601056,0.00007485,1098.94
2520,4.532335,4.638808,,0.00010003,1165.46
2520,4.593655,4.695468,,0.00007176,1211.05
2540,4.728350,4.638675,,0.00009764,1158.66
2540,4.786036,4.697068,,0.00006857,1118.04
2560,4.552993,4.656042,,0.00009514,1131.76
2560,4.609410,4.714781,,0.00006528,1177.04
2580,4.781504,4.659667,,0.00009255,1131.84
2580,4.840369,4.719160,,0.00006193,1132.85
2600,4.717696,4.659127,4.605916,0.00008986,1139.38
2600,4.777510,4.720220,4.614502,0.00005851,1071.14
2620,4.674252,4.655816,,0.00008710,1078.75
2620,4.738160,4.717648,,0.00005505,1129.88
2640,4.320039,4.593503,,0.00008426,1088.14
2640,4.386443,4.656911,,0.00005157,1045.00
2660,4.557843,4.618207,,0.00008136,1123.73
2660,4.620597,4.683141,,0.00004808,1104.43
2680,4.637085,4.616173,,0.00007839,1065.03
2680,4.701062,4.683517,,0.00004460,1105.60
2700,4.853701,4.621091,4.691906,0.00007538,1108.17
2700,4.919908,4.688753,4.707058,0.00004115,1106.06
2720,4.619467,4.603201,,0.00007232,1064.19
2720,4.691574,4.672689,,0.00003773,1092.54
2740,4.706020,4.590506,,0.00006923,1190.82
2740,4.775269,4.661754,,0.00003438,1190.18
2760,4.459808,4.595431,,0.00006612,1181.92
2760,4.536851,4.667127,,0.00003111,1185.96
2780,4.589763,4.608914,,0.00006298,1133.88
2780,4.663877,4.681756,,0.00002792,1149.61
2800,4.496196,4.593505,4.576406,0.00005984,1164.70
2800,4.574947,4.668188,4.598004,0.00002485,1038.31
2820,4.704731,4.573980,,0.00005670,1007.32
2820,4.780458,4.651773,,0.00002190,1103.67
2840,4.455539,4.566493,,0.00005357,1084.11
2840,4.533760,4.644647,,0.00001908,1093.27
2860,4.595667,4.593115,,0.00005046,1184.04
2860,4.670346,4.670209,,0.00001641,1196.29
2880,4.680690,4.602161,,0.00004737,1155.01
2880,4.758344,4.681214,,0.00001391,1146.50
2900,4.354100,4.587268,4.628118,0.00004432,1108.06
