step,loss,ema_loss,val_loss,lr,tokens_per_sec
2500,4.623940,4.577056,4.749708,0.00001350,2843.06
2520,4.160439,4.489428,,0.00001321,2838.52
2540,4.730490,4.482807,,0.00001292,3004.70
2560,4.592217,4.550447,,0.00001262,3087.84
2580,4.776420,4.613837,,0.00001233,3269.03
2600,4.395685,4.549122,4.734749,0.00001204,3153.43
2620,4.413560,4.518317,,0.00001176,3234.29
2640,4.605553,4.529481,,0.00001147,3358.48
2660,4.417324,4.528569,,0.00001118,3244.54
2680,4.559959,4.540731,,0.00001090,3355.47
2700,4.366838,4.513919,4.809143,0.00001062,3304.83
2720,4.433529,4.491202,,0.00001034,3339.62
2740,4.285391,4.446034,,0.00001006,3321.39
2760,4.246536,4.469106,,0.00000978,3327.47
2780,4.601206,4.535152,,0.00000951,3301.57
2800,4.242471,4.469350,4.790286,0.00000923,3301.74
2820,4.754827,4.441393,,0.00000896,3271.08
2840,4.399189,4.448161,,0.00000869,3400.49
2860,4.115273,4.436437,,0.00000843,3310.79
2880,4.865395,4.507087,,0.00000816,3355.87
2900,4.672336,4.508740,4.542687,0.00000790,3340.40
2920,4.316759,4.491182,,0.00000764,3346.57
2940,4.502998,4.494040,,0.00000739,3389.82
2960,4.476013,4.464801,,0.00000714,3402.66
2980,4.338362,4.498713,,0.00000689,3433.03
3000,4.738251,4.533898,4.758178,0.00000664,3282.51
3020,4.585361,4.438335,,0.00000640,2892.56
3040,4.560436,4.493021,,0.00000616,2972.54
3060,4.727679,4.496865,,0.00000592,3015.98
3080,4.180927,4.440674,,0.00000569,3058.86
3100,4.579543,4.448892,4.451157,0.00000546,3111.74
3120,4.322245,4.383637,,0.00000524,2771.98
3140,4.554478,4.442209,,0.00000501,2570.18
3160,4.646180,4.418563,,0.00000480,1906.14
3180,4.598607,4.468406,,0.00000458,274.27
3200,4.499097,4.429056,4.505488,0.00000437,2198.05
3220,4.877110,4.509669,,0.00000417,1914.65
3240,4.488397,4.476815,,0.00000397,1782.44
3260,3.868682,4.395542,,0.00000377,1810.46
3280,4.473626,4.416735,,0.00000357,1907.01
3300,4.096001,4.407278,4.749306,0.00000339,1917.33
3320,4.560174,4.475185,,0.00000320,1949.18
3340,4.458650,4.431262,,0.00000302,1971.91
3360,4.325560,4.373359,,0.00000300,1924.20
3380,4.442552,4.426171,,0.00000300,1877.47
3400,4.451695,4.490599,4.663725,0.00000300,1936.77
3420,4.697263,4.480386,,0.00000300,1931.49
3440,4.548165,4.555758,,0.00000300,1909.18
3460,4.031456,4.446917,,0.00000300,1914.42
3480,4.284228,4.413166,,0.00000300,1984.91
3500,4.375688,4.415208,4.438411,0.00000300,1917.95
3520,4.552653,4.345535,,0.00000300,1895.84
3540,4.312489,4.396205,,0.00000300,1922.52
3560,4.185143,4.366297,,0.00000300,1935.31
3580,4.269753,4.429487,,0.00000300,1974.45
3600,4.153433,4.433625,4.680112,0.00000300,1915.86
3620,4.545424,4.401215,,0.00000300,1877.31
3640,4.995307,4.396258,,0.00000300,1891.09
3660,4.169135,4.427032,,0.00000300,1934.23
3680,4.355036,4.440077,,0.00000300,1893.15
3700,4.287164,4.431417,4.673397,0.00000300,1868.68
3720,4.660048,4.370909,,0.00000300,1902.25
3740,4.235338,4.350795,,0.00000300,1975.75
3760,4.310893,4.339771,,0.00000300,1952.33
3780,4.534261,4.386199,,0.00000300,1924.95
3800,4.530589,4.406388,4.554043,0.00000300,1906.19
3820,4.406786,4.377852,,0.00000300,1922.56
3840,4.713015,4.403396,,0.00000300,1927.37
3860,3.994773,4.432957,,0.00000300,1933.07
3880,4.086581,4.386096,,0.00000300,1924.60
3900,4.199302,4.445903,4.581167,0.00000300,1928.59
3920,4.080519,4.418412,,0.00000300,1864.96
3940,4.228697,4.434278,,0.00000300,1887.72
3960,4.451171,4.405509,,0.00000300,1867.39
3980,4.548357,4.438480,,0.00000300,1855.94
4000,5.550465,4.560584,5.597671,0.00000040,36891.13
4020,5.524501,5.188783,,0.00000440,4065.17
4040,5.498781,5.389302,,0.00000840,3590.72
4060,5.406779,5.401046,,0.00001240,2955.75
4080,5.337698,5.371471,,0.00001640,2930.67
4100,5.311609,5.371827,5.368024,0.00002040,11.49
4120,5.336437,5.319102,,0.00002440,2700.59
4140,5.202169,5.268677,,0.00002840,3021.42
4160,5.328997,5.228104,,0.00003240,3816.39
4180,5.113039,5.175293,,0.00003640,3817.36
4200,5.173741,5.145578,5.302369,0.00004040,3849.68
4220,5.207506,5.127649,,0.00004440,3884.90
4240,4.960170,5.055610,,0.00004840,4020.83
4260,5.046884,5.023984,,0.00005240,3934.03
4280,4.924513,4.961448,,0.00005640,3749.65
4300,5.093011,4.950049,5.126733,0.00006040,3597.52
4320,4.708680,4.861892,,0.00006440,3687.43
4340,4.552775,4.773560,,0.00006840,3440.28
4360,4.526200,4.733628,,0.00007240,3160.78
4380,4.625180,4.690849,,0.00007640,3253.15
4400,4.510839,4.659050,5.014783,0.00007873,3081.31
4420,4.620222,4.612071,,0.00007860,3645.52
4440,4.680050,4.558121,,0.00007847,3724.80
4460,4.296352,4.530672,,0.00007833,3604.32
4480,4.501076,4.487416,,0.00007818,3704.91
4500,4.400468,4.438453,5.017096,0.00007803,3765.11
4520,4.231956,4.416452,,0.00007787,3608.74
4540,4.205303,4.354643,,0.00007770,3359.39
4560,3.911361,4.258163,,0.00007753,3775.26
4580,4.033245,4.224860,,0.00007736,3426.95
4600,3.955839,4.223945,4.301838,0.00007717,3227.87
4620,3.799325,4.218349,,0.00007698,3291.65
4640,4.321416,4.192253,,0.00007679,3426.39
4660,4.779898,4.176987,,0.00007659,3544.68
4680,3.955099,4.131257,,0.00007638,3607.79
4700,4.209826,4.139088,4.407189,0.00007617,3336.50
4720,4.200333,4.076484,,0.00007595,3941.48
4740,4.217044,4.070444,,0.00007573,4114.35
4760,3.937667,4.055321,,0.00007550,4032.57
4780,4.324451,3.996774,,0.00007527,4122.55
4800,4.048135,3.919313,4.413560,0.00007503,3968.85
4820,4.070826,4.005801,,0.00007478,3898.56
4840,3.793159,3.936251,,0.00007453,3930.25
4860,3.887145,3.909989,,0.00007428,3975.79
4880,3.965995,3.859753,,0.00007401,3953.29
4900,3.956798,3.828888,4.174989,0.00007375,2409.75
4920,3.785324,3.851353,,0.00007347,3773.07
4940,3.865376,3.823093,,0.00007320,3697.69
4960,3.811804,3.807315,,0.00007291,3448.14
4980,3.718483,3.819961,,0.00007262,3342.41
5000,3.787893,3.800681,4.268325,0.00007233,3379.28
5020,3.937593,3.780307,,0.00007203,3333.80
5040,3.716774,3.689503,,0.00007173,3450.28
5060,3.647993,3.699628,,0.00007142,3435.19
5080,3.860921,3.709766,,0.00007111,3398.14
5100,3.376884,3.645801,3.874076,0.00007079,3349.91
5120,3.648918,3.649769,,0.00007047,3335.92
5140,3.532223,3.655459,,0.00007014,3266.98
5160,3.722553,3.663749,,0.00006980,3298.13
5180,3.563378,3.667019,,0.00006947,3326.54
5200,3.984219,3.642129,4.252414,0.00006912,3306.05
5220,3.643951,3.634947,,0.00006878,3274.97
5240,3.516303,3.589094,,0.00006843,3387.83
5260,3.485461,3.617050,,0.00006807,3365.00
5280,3.419933,3.599006,,0.00006771,3388.63
5300,3.638883,3.634215,4.048584,0.00006735,3307.39
5320,3.735175,3.592448,,0.00006698,3347.03
5340,3.781824,3.586917,,0.00006660,3347.38
5360,3.478181,3.577389,,0.00006623,3322.53
5380,3.410369,3.558819,,0.00006584,3340.82
5400,3.513289,3.583398,4.118593,0.00006546,3138.59
5420,3.791524,3.591245,,0.00006507,3077.64
5440,3.404720,3.562581,,0.00006467,3009.32
5460,3.526568,3.510184,,0.00006428,3454.75
5480,3.592164,3.503277,,0.00006388,3477.82
5500,3.406510,3.547857,4.172533,0.00006347,3468.50
5520,3.262300,3.510845,,0.00006306,3525.82
5540,3.829059,3.522322,,0.00006265,3582.17
5560,3.567314,3.452461,,0.00006223,3561.77
5580,3.528286,3.545226,,0.00006181,3564.35
5600,3.258746,3.479810,4.106099,0.00006139,3486.54
5620,3.088015,3.452892,,0.00006096,3391.48
5640,3.490798,3.453641,,0.00006053,3339.23
5660,3.013545,3.461172,,0.00006010,3344.53
5680,3.433031,3.400767,,0.00005967,3519.15
5700,3.414722,3.435774,4.122403,0.00005923,3418.07
5720,3.392251,3.412900,,0.00005878,3449.32
5740,3.793963,3.438981,,0.00005834,3436.42
5760,3.533391,3.434189,,0.00005789,3451.00
5780,3.381915,3.417825,,0.00005744,3428.60
5800,3.307048,3.349771,4.344014,0.00005699,3426.96
5820,3.207392,3.386349,,0.00005653,3427.87
5840,3.508107,3.388100,,0.00005607,3509.68
5860,2.775114,3.398979,,0.00005561,3586.33
5880,3.374704,3.403210,,0.00005514,3521.00
5900,3.160027,3.416096,4.166134,0.00005468,3516.06
5920,3.242158,3.365272,,0.00005421,3524.39
5940,2.930498,3.345231,,0.00005374,3461.46
5960,3.666906,3.374726,,0.00005327,3503.56
5980,3.416812,3.383446,,0.00005279,3481.85
6000,3.840116,3.404162,3.717703,0.00005231,3495.00
6020,3.361462,3.336484,,0.00005183,3423.82
6040,2.999643,3.317916,,0.00005135,3483.25
6060,3.467370,3.354466,,0.00005087,3492.69
6080,3.137108,3.317143,,0.00005039,3494.46
6100,3.471162,3.340862,3.976491,0.00004990,3392.49
6120,3.422345,3.329927,,0.00004941,3519.64
6140,3.242857,3.299252,,0.00004892,3492.48
6160,3.123082,3.351762,,0.00004843,3484.65
6180,3.526964,3.340275,,0.00004794,3527.49
6200,3.116400,3.340004,3.788639,0.00004745,3373.05
6220,3.103689,3.344824,,0.00004695,3426.33
6240,3.467405,3.302492,,0.00004646,3489.80
6260,3.391298,3.345603,,0.00004596,3538.33
6280,3.401024,3.351195,,0.00004546,3496.16
6300,3.316817,3.287833,4.063032,0.00004496,3460.64
6320,3.870522,3.313905,,0.00004446,3470.29
6340,3.297404,3.299144,,0.00004396,3535.58
6360,4.009269,3.327612,,0.00004346,3504.78
6380,3.020711,3.306927,,0.00004296,3469.18
6400,3.449474,3.286989,4.331236,0.00004246,3451.64
6420,3.418529,3.295021,,0.00004196,3409.14
6440,3.589790,3.298007,,0.00004146,3063.60
6460,3.174022,3.302491,,0.00004095,3043.83
6480,3.160795,3.268232,,0.00004045,3286.95
6500,2.898094,3.251802,3.609312,0.00003995,3352.21
6520,3.072990,3.263866,,0.00003945,3267.01
6540,2.833513,3.288786,,0.00003894,3159.54
6560,3.158177,3.251885,,0.00003844,3190.30
6580,2.953137,3.228335,,0.00003794,3272.17
6600,3.315277,3.325480,4.093559,0.00003744,3053.70
6620,3.132830,3.338831,,0.00003694,3176.66
6640,3.061303,3.285443,,0.00003644,3066.84
6660,3.386420,3.247790,,0.00003594,3123.95
6680,3.336832,3.266191,,0.00003544,2086.43
6700,3.056498,3.289216,3.954657,0.00003494,3005.81
6720,2.881273,3.229360,,0.00003444,3412.78
6740,3.524849,3.241084,,0.00003394,3775.06
6760,3.270651,3.199742,,0.00003344,3726.30
6780,2.997602,3.190108,,0.00003295,3797.89
6800,3.256082,3.205387,3.897706,0.00003246,3679.81
6820,3.514958,3.197108,,0.00003196,3592.72
6840,3.227273,3.286464,,0.00003147,3700.13
6860,3.057132,3.195560,,0.00003098,3436.50
6880,3.449855,3.251042,,0.00003049,3536.96
6900,2.983933,3.188216,4.378934,0.00003000,3468.15
6920,3.369248,3.290261,,0.00002952,3479.77
6940,3.434446,3.289090,,0.00002903,3598.00
6960,3.216524,3.260200,,0.00002855,3385.40
6980,3.399391,3.225015,,0.00002807,3591.05
7000,3.103815,3.231866,3.821502,0.00002759,3435.53
7020,2.927225,3.220713,,0.00002711,3424.94
7040,2.950205,3.134552,,0.00002664,3486.04
7060,2.779678,3.154300,,0.00002617,3367.65
7080,3.523229,3.281428,,0.00002570,3393.98
7100,3.355498,3.320875,4.250108,0.00002523,2876.54
7120,3.254870,3.254907,,0.00002476,2879.63
7140,3.257045,3.230352,,0.00002430,3315.73
7160,2.997659,3.139844,,0.00002384,3449.97
7180,3.576772,3.184478,,0.00002338,3462.40
7200,2.901316,3.183318,3.705779,0.00002292,3374.00
7220,3.112713,3.177661,,0.00002247,3371.80
7240,3.124678,3.178181,,0.00002202,3447.79
7260,3.175347,3.179993,,0.00002157,3448.38
7280,3.076580,3.255705,,0.00002113,3497.60
7300,3.182186,3.204646,4.002437,0.00002069,3437.54
7320,3.485608,3.202421,,0.00002025,3426.08
7340,2.794435,3.198832,,0.00001981,3473.06
7360,3.226213,3.135792,,0.00001938,3491.62
7380,3.402995,3.271989,,0.00001895,3478.45
7400,2.685021,3.146809,3.803879,0.00001852,3455.78
7420,3.668135,3.156868,,0.00001810,3350.17
7440,3.469718,3.157164,,0.00001768,3432.99
7460,3.399998,3.268598,,0.00001727,3493.50
7480,3.423281,3.226952,,0.00001686,3503.67
7500,2.874872,3.178752,3.827576,0.00001645,3408.88
7520,3.571100,3.191191,,0.00001604,3492.34
7540,3.563874,3.227528,,0.00001564,3538.86
7560,3.187833,3.157291,,0.00001525,3084.24
7580,2.951076,3.162543,,0.00001485,3124.88
7600,3.145630,3.198461,4.155425,0.00001446,3186.43
7620,3.451776,3.238204,,0.00001408,3414.07
7640,2.962077,3.192916,,0.00001370,3251.64
7660,2.951315,3.174668,,0.00001332,3812.00
7680,2.956476,3.128062,,0.00001295,3342.90
7700,3.468902,3.173428,3.958684,0.00001258,3449.45
7720,3.183872,3.173525,,0.00001222,3403.26
7740,3.255367,3.151044,,0.00001186,3378.90
7760,3.498979,3.168470,,0.00001150,3411.24
7780,3.129585,3.245073,,0.00001115,3305.18
7800,3.572359,3.165488,3.797032,0.00001081,3375.20
7820,3.222674,3.150111,,0.00001047,3345.32
7840,3.377908,3.131246,,0.00001013,3395.14
7860,3.100711,3.145512,,0.00000980,3137.78
7880,3.004018,3.105814,,0.00000947,3259.79
7900,3.387012,3.169491,3.651060,0.00000915,3348.20
7920,3.153499,3.185874,,0.00000883,3355.16
7940,2.954921,3.121349,,0.00000852,3318.89
7960,2.991860,3.165370,,0.00000821,3221.96
7980,3.321810,3.155734,,0.00000800,3464.78
8000,3.534730,3.200304,4.204624,0.00000800,3337.86
8020,2.930968,3.127229,,0.00000800,3356.23
8040,2.914880,3.084187,,0.00000800,3471.16
8060,3.003266,3.173480,,0.00000800,3254.56
8080,2.778443,3.119003,,0.00000800,3401.46
8100,3.205689,3.130726,4.077460,0.00000800,3353.81
8120,2.896257,3.179254,,0.00000800,3284.64
8140,3.490734,3.215259,,0.00000800,3452.63
8160,3.548286,3.191465,,0.00000800,3351.16
8180,3.333921,3.186378,,0.00000800,3472.83
8200,2.925062,3.153732,4.087586,0.00000800,3408.35
8220,3.164337,3.190487,,0.00000800,3538.39
