step,loss,ema_loss,val_loss,lr,tokens_per_sec
2540,2.546756,2.645155,,0.00007567,2116.87
2560,2.515125,2.636866,,0.00007560,2114.15
2580,2.350432,2.619610,,0.00007554,2131.48
2600,2.753586,2.697328,3.864101,0.00007547,2102.41
2620,3.115425,2.688988,,0.00007540,2123.25
2640,2.432265,2.687575,,0.00007533,2145.11
2660,2.696566,2.646235,,0.00007526,2124.92
2680,2.411024,2.589944,,0.00007519,2147.51
2700,2.514746,2.569884,,0.00007512,2095.83
2720,2.505155,2.533381,,0.00007505,2062.52
2740,2.983185,2.579254,,0.00007498,2137.90
2760,1.874936,2.505709,,0.00007491,2125.38
2780,3.011999,2.500553,,0.00007483,2144.60
2800,2.665721,2.524276,3.758048,0.00007476,2095.41
2820,2.291906,2.532192,,0.00007469,2074.66
2840,3.106759,2.525035,,0.00007461,2111.12
2860,2.309300,2.621469,,0.00007454,2124.41
2880,2.783868,2.547934,,0.00007446,2129.63
2900,2.275715,2.531431,,0.00007439,2091.80
2920,2.747089,2.475312,,0.00007431,2070.82
2940,2.740940,2.483276,,0.00007424,2124.51
2960,2.681425,2.493725,,0.00007416,2134.04
2980,2.493976,2.530293,,0.00007408,2131.37
3000,2.422144,2.543157,3.512446,0.00007400,2128.38
3020,2.443853,2.427436,,0.00007393,2129.12
3040,2.621602,2.449944,,0.00007385,2145.08
3060,2.287229,2.432577,,0.00007377,2134.41
3080,2.403949,2.428655,,0.00007369,2137.33
3100,2.496425,2.384850,,0.00007361,2122.95
3120,2.685769,2.472321,,0.00007353,2100.34
3140,2.183660,2.382760,,0.00007345,2130.65
3160,2.579759,2.433221,,0.00007337,2121.74
3180,2.359541,2.371218,,0.00007329,2094.92
3200,2.598201,2.405652,4.145487,0.00007320,2098.74
3220,2.789243,2.454453,,0.00007312,2095.22
3240,2.480083,2.375403,,0.00007304,2146.40
3260,2.544754,2.437677,,0.00007295,2145.04
3280,2.272567,2.423121,,0.00007287,2152.25
3300,2.158554,2.466734,,0.00007279,2136.05
3320,2.585059,2.446233,,0.00007270,2109.86
3340,2.394774,2.455745,,0.00007262,2126.97
3360,2.404398,2.397517,,0.00007253,2123.94
3380,2.551729,2.386426,,0.00007244,2116.04
3400,2.172819,2.332633,3.091041,0.00007236,2091.23
3420,1.922932,2.343547,,0.00007227,2103.10
3440,2.817707,2.390825,,0.00007218,2115.79
3460,2.488620,2.408727,,0.00007209,2115.90
